,geneProtein_label,therapy_label,disease_label,drug_label,NDCCode_label,combinationDrug_label,negGeProDr_label,firstLine,acceleratedApproval,acceleratedApprovalRate,metastatic
0,PD-L1,Atezolizumab,Urothelial carcinoma,"TECENTRIQ- atezolizumab injection, solution","50242-917-01, 50242-917-86, 50242-918-01, 50242-918-86",,,,Yes,Yes,Yes
1,*,Atezolizumab,Urothelial carcinoma,"TECENTRIQ- atezolizumab injection, solution","50242-917-01, 50242-917-86, 50242-918-01, 50242-918-86",,,,Yes,Yes,
2,*,Atezolizumab,Small cell lung cancer,"TECENTRIQ- atezolizumab injection, solution","50242-917-01, 50242-917-86, 50242-918-01, 50242-918-86","carboplatin, etoposide",,Yes,,,
3,BRAF,Atezolizumab,Melanoma,"TECENTRIQ- atezolizumab injection, solution","50242-917-01, 50242-917-86, 50242-918-01, 50242-918-86",vemurafenib,,,,,Yes
4,PD-L1,Atezolizumab,Non-small cell lung cancer,"TECENTRIQ- atezolizumab injection, solution","50242-917-01, 50242-917-86, 50242-918-01, 50242-918-86",,"EGFR, ALK genomic",Yes,,,Yes
5,EGFR,Atezolizumab,Non-small cell lung cancer,"TECENTRIQ- atezolizumab injection, solution","50242-917-01, 50242-917-86, 50242-918-01, 50242-918-86",,"EGFR, ALK genomic",Yes,,,Yes
6,ALK genomic,Atezolizumab,Non-small cell lung cancer,"TECENTRIQ- atezolizumab injection, solution","50242-917-01, 50242-917-86, 50242-918-01, 50242-918-86",,"EGFR, ALK genomic",Yes,,,Yes
7,EGFR,Atezolizumab,Non-small cell lung cancer,"TECENTRIQ- atezolizumab injection, solution","50242-917-01, 50242-917-86, 50242-918-01, 50242-918-86","paclitaxel, bevacizumab, carboplatin","EGFR, ALK genomic",,,,
8,ALK genomic,Atezolizumab,Non-small cell lung cancer,"TECENTRIQ- atezolizumab injection, solution","50242-917-01, 50242-917-86, 50242-918-01, 50242-918-86","paclitaxel, bevacizumab, carboplatin","EGFR, ALK genomic",,,,
9,EGFR,Atezolizumab,Non-small cell lung cancer,"TECENTRIQ- atezolizumab injection, solution","50242-917-01, 50242-917-86, 50242-918-01, 50242-918-86","paclitaxel, carboplatin","EGFR, ALK genomic",,,,
10,ALK genomic,Atezolizumab,Non-small cell lung cancer,"TECENTRIQ- atezolizumab injection, solution","50242-917-01, 50242-917-86, 50242-918-01, 50242-918-86","paclitaxel, carboplatin","EGFR, ALK genomic",,,,
11,EGFR,Atezolizumab,Non-small cell lung cancer,"TECENTRIQ- atezolizumab injection, solution","50242-917-01, 50242-917-86, 50242-918-01, 50242-918-86",,,,,,
12,ALK genomic,Atezolizumab,Non-small cell lung cancer,"TECENTRIQ- atezolizumab injection, solution","50242-917-01, 50242-917-86, 50242-918-01, 50242-918-86",,,,,,
13,*,Atezolizumab,Hepatocellular carcinoma,"TECENTRIQ- atezolizumab injection, solution","50242-917-01, 50242-917-86, 50242-918-01, 50242-918-86",bevacizumab,,,,,Yes
14,PD-L1,Atezolizumab,Breast cancer,"TECENTRIQ- atezolizumab injection, solution","50242-917-01, 50242-917-86, 50242-918-01, 50242-918-86",paclitaxel,,,Yes,,
15,*,Atezolizumab,Breast cancer,"TECENTRIQ- atezolizumab injection, solution","50242-917-01, 50242-917-86, 50242-918-01, 50242-918-86",,,,Yes,,
16,*,Atezolizumab,Breast cancer,"TECENTRIQ- atezolizumab injection, solution","50242-917-01, 50242-917-86, 50242-918-01, 50242-918-86",paclitaxel,paclitaxel,,Yes,,
17,*,Nivolumab,Malignant pleural mesothelioma,OPDIVO- nivolumab injection,"0003-3734-13, 0003-3772-11, 0003-3774-12",ipilimumab,,Yes,,,Yes
18,SCCHN,Nivolumab,Squamous cell carcinoma of the head and neck,OPDIVO- nivolumab injection,"0003-3734-13, 0003-3772-11, 0003-3774-12",,,,,,Yes
19,*,Nivolumab,Urothelial carcinoma,OPDIVO- nivolumab injection,"0003-3734-13, 0003-3772-11, 0003-3774-12",,,,Yes,Yes,Yes
20,*,Nivolumab,Urothelial carcinoma,OPDIVO- nivolumab injection,"0003-3734-13, 0003-3772-11, 0003-3774-12",,,,Yes,Yes,
21,*,Nivolumab,Renal cell carcinoma,OPDIVO- nivolumab injection,"0003-3734-13, 0003-3772-11, 0003-3774-12",ipilimumab,,,,,
22,*,Nivolumab,Renal cell carcinoma,OPDIVO- nivolumab injection,"0003-3734-13, 0003-3772-11, 0003-3774-12",cabozantinib,,,,,
23,*,Nivolumab,gastroesophageal junction adenocarcinoma,OPDIVO- nivolumab injection,"0003-3734-13, 0003-3772-11, 0003-3774-12",,,,,,
24,*,Nivolumab,Classic Hodgkin lymphoma,OPDIVO- nivolumab injection,"0003-3734-13, 0003-3772-11, 0003-3774-12",,,,,,
25,*,Nivolumab,Melanoma,OPDIVO- nivolumab injection,"0003-3734-13, 0003-3772-11, 0003-3774-12",ipilimumab,,,,,Yes
26,*,Nivolumab,Melanoma,OPDIVO- nivolumab injection,"0003-3734-13, 0003-3772-11, 0003-3774-12",,,,,,
27,PD-L1,Nivolumab,Non-small cell lung cancer,OPDIVO- nivolumab injection,"0003-3734-13, 0003-3772-11, 0003-3774-12",ipilimumab,"EGFR, ALK genomic",Yes,,,Yes
28,≥1,Nivolumab,Non-small cell lung cancer,OPDIVO- nivolumab injection,"0003-3734-13, 0003-3772-11, 0003-3774-12",ipilimumab,"EGFR, ALK genomic",Yes,,,Yes
29,EGFR,Nivolumab,Non-small cell lung cancer,OPDIVO- nivolumab injection,"0003-3734-13, 0003-3772-11, 0003-3774-12",ipilimumab,"EGFR, ALK genomic",Yes,,,Yes
30,ALK genomic,Nivolumab,Non-small cell lung cancer,OPDIVO- nivolumab injection,"0003-3734-13, 0003-3772-11, 0003-3774-12",ipilimumab,"EGFR, ALK genomic",Yes,,,Yes
31,EGFR,Nivolumab,Non-small cell lung cancer,OPDIVO- nivolumab injection,"0003-3734-13, 0003-3772-11, 0003-3774-12",ipilimumab,"EGFR, ALK genomic",Yes,,,
32,ALK genomic,Nivolumab,Non-small cell lung cancer,OPDIVO- nivolumab injection,"0003-3734-13, 0003-3772-11, 0003-3774-12",ipilimumab,"EGFR, ALK genomic",Yes,,,
33,EGFR,Nivolumab,Non-small cell lung cancer,OPDIVO- nivolumab injection,"0003-3734-13, 0003-3772-11, 0003-3774-12",,,,,,
34,ALK genomic,Nivolumab,Non-small cell lung cancer,OPDIVO- nivolumab injection,"0003-3734-13, 0003-3772-11, 0003-3774-12",,,,,,
35,*,Nivolumab,Hepatocellular carcinoma,OPDIVO- nivolumab injection,"0003-3734-13, 0003-3772-11, 0003-3774-12",ipilimumab,,,Yes,Yes,
36,*,Nivolumab,Hepatocellular carcinoma,OPDIVO- nivolumab injection,"0003-3734-13, 0003-3772-11, 0003-3774-12",,,,Yes,Yes,
37,*,Nivolumab,esophageal cancer,OPDIVO- nivolumab injection,"0003-3734-13, 0003-3772-11, 0003-3774-12",,,,,,
